Club,Points
Liverpool,84
Arsenal,74
Man City,71
Chelsea,69
Newcastle,66
Aston Villa,66
Nottm Forest,65
Brighton,61
Bournemouth,56
Brentford,56
Fulham,54
Crystal Palace,53
Everton,48
West Ham,43
Man United,42
Wolves,42
Tottenham,38
Leicester City,25
Ipswich Town,22
Southampton,12
