Club,Points
Man City,91
Arsenal,89
Liverpool,82
Aston Villa,68
Tottenham,66
Chelsea,63
Newcastle,60
Man United,60
West Ham,52
Crystal Palace,49
Brighton,48
Bournemouth,48
Fulham,47
Wolves,46
Everton,40
Brentford,39
Nottm Forest,32
Luton Town,26
Burnley,24
Sheffield United,16
