Club,Points
Man City,89
Arsenal,84
Man United,75
Newcastle,71
Liverpool,67
Brighton,62
Aston Villa,61
Tottenham,60
Brentford,59
Fulham,52
Crystal Palace,45
Chelsea,44
Wolves,41
West Ham,40
Bournemouth,39
Nottm Forest,38
Everton,36
Leicester City,34
Leeds United,31
Southampton,25
