Club,Points
Man City,93
Liverpool,92
Chelsea,74
Tottenham,71
Arsenal,69
Man United,58
West Ham,56
Leicester City,52
Brighton,51
Wolves,51
Newcastle,49
Crystal Palace,48
Brentford,46
Aston Villa,45
Southampton,40
Everton,39
Leeds United,38
Burnley,35
Watford,23
Norwich City,22
